,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,Foreign,,,,
2,,,,,,,,,,,,,,,Currency,,,,
3,Purchase,,,,,Translation,,,,,,,,,,,,,
4,(Dollars in millions),,Balance,,Goodwill,,Price,,,,,And Other,,Balance,,,,,
5,Segment,,01/01/12,,Additions,,Adjustments,,Divestitures,,Adjustments,,12/31/12,,,,,,
6,"Global
  Business Services",,,"4,313",,,5,,,(0),,,(2),,,42,,,"4,357"
7,"Global
  Technology Services",,,"2,646",,,264,,,—,,,(0),,,6,,,"2,916"
8,Software,,,"18,121",,,"2,182",,,(30),,,(6),,,137,,,"20,405"
9,"Systems
  and Technology",,,"1,133",,,443,,,(0),,,(14),,,6,,,"1,568"
10,Total,,,"26,213",,,"2,894",,,(30),,,(22),,,192,,,"29,247"
11,,,,,,,,,,,,,,,,,,,
