,0,1,2,3,4,5,6,7
0,(Dollars in millions),,,,,,,
1,For the nine months ended September 30,,,2013,,,2012,
2,Proceeds,,,28,,,87,
3,"Gross
  realized gains (before taxes)",,,9,,,43,
4,"Gross
  realized losses (before taxes)",,,4,,,0,
