,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,Yr. to Yr.,,
1,,,,,,,,Percent/,,,,
2,(Dollars in millions),,,,,,,,Margin,,,
3,For the three months ended September 30,,2013,,2012,,Change,,,,,
4,"Systems
  and Technology",,,,,,,,,,,
5,"External
  gross profit",,,"1,092",,,"1,451",,,(24.7),,
6,"External
  gross profit margin",,,33.6,,,37.3,,,(3.6),pts.,
7,"Pre-tax
  income",,,(167),,,124,,,nm,,
8,"Pre-tax
  margin",,,(4.9),,,3.0,,,(7.9),pts.,
9,,,,,,,,,,,,
10,nm - not meaningful,,,,,,,,,,,
