,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,"Roll
  Forward of  Global Financing Receivables Allowance for Credit Losses",,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,(Dollars in millions),,Allowance,,Additions/,,,,,,,,,
4,"January 1, 2013",,Used*,,(Reductions),,Other**,,"September 30, 2013",,,,,
5,,355,,,(31),,,35,,,(4),,,354
6,,,,,,,,,,,,,,
7,"*   Represents reserved receivables, net of recoveries,
  that were disposed of during the period.",,,,,,,,,,,,,
8,** Primarily represents translation adjustments.,,,,,,,,,,,,,
