,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,Yr. to Yr.,,
1,,,,,,,,Percent/,,,,
2,(Dollars in millions),,,,,,,,Margin,,,
3,For the three months ended September 30,,2013,,2012,,Change,,,,,
4,Software,,,,,,,,,,,
5,"External
  gross profit",,,"5,101",,,"5,073",,,0.6,,
6,"External
  gross profit margin",,,88.0,,,88.0,,,(0.0),pts.,
7,"Pre-tax
  income",,,"2,410",,,"2,355",,,2.3,,
8,"Pre-tax
  margin",,,36.8,,,35.6,,,1.2,pts.,
