,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,Yr. to Yr.,,
1,,,,,,,,Percent/,,,,
2,(Dollars in millions),,,,,,,,Margin,,,
3,For the nine months ended September 30,,2013,,2012,,Change,,,,,
4,Software,,,,,,,,,,,
5,"External
  gross profit",,,"15,663",,,"15,398",,,1.7,,
6,"External
  gross profit margin",,,88.0,,,87.8,,,0.2,pts.,
7,"Pre-tax
  income",,,"6,867",,,"6,793",,,1.1,,
8,"Pre-tax
  margin",,,34.2,,,34.0,,,0.2,pts.,
