,0,1,2,3,4,5,6
0,"Noncurrent
  Assets and Liabilities",,,,,,
1,,,"At September 30,",,"At December 31,",,
2,(Dollars in millions),,2013,,2012,,
3,"Noncurrent
  assets",,,"70,312",,,"69,780"
4,"Long-term
  debt",,,"28,478",,,"24,088"
5,"Noncurrent
  liabilities (excluding debt)",,,"30,137",,,"32,516"
