,0,1,2,3,4,5,6
0,,,"At September 30,",,"At December 31,",,
1,(Dollars in millions),,2013,,2012,,
2,"Total
  company debt",,,"36,180",,,"33,269"
3,"Total
  Global Financing segment debt",,,"25,824",,,"24,501"
4,Debt to support external clients,,,"22,755",,,"21,583"
5,Debt to support internal clients,,,"3,068",,,"2,919"
