,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,,,,
1,,,,,,,,,,,,Recorded,
2,,,Total,,,,,Total,,Investment,,,
3,(Dollars in millions),,Past Due,,,,,Financing,,> 90 Days,,,
4,"At September 30, 2013",,> 90 days*,,Current,,Receivables,,and Accruing,,,,
5,"Major
  markets",,,9,,,"6,696",,,"6,705",,,9
6,"Growth
  markets",,,16,,,"2,089",,,"2,104",,,11
7,"Total
  lease receivables",,,25,,,"8,785",,,"8,809",,,20
8,,,,,,,,,,,,,
9,"Major
  markets",,,15,,,"9,027",,,"9,042",,,14
10,"Growth
  markets",,,29,,,"3,801",,,"3,830",,,10
11,"Total
  loan receivables",,,43,,,"12,828",,,"12,871",,,24
12,,,,,,,,,,,,,
13,Total,,,68,,,"21,612",,,"21,681",,,44
14,,,,,,,,,,,,,
15,* Does not include accounts that are fully reserved.,,,,,,,,,,,,
16,,,,,,,,,,,,,
