,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,,,
1,,,Capitalized,,Acquired,,,,,,,
2,(Dollars in millions),,Software,,Intangibles,,Total,,,,,
3,"2013
  (for Q4)",,,146,,,187,,,333,,
4,2014,,,441,,,767,,,"1,207",,
5,2015,,,204,,,621,,,824,,
6,2016,,,39,,,579,,,618,,
7,2017,,,—,,,461,,,461,,
8,,,,,,,,,,,,
