,0,1,2,3,4,5,6
0,,,STANDARD,,MOODY'S,,
1,,,AND,,INVESTORS,,FITCH
2,,,POOR'S,,SERVICE,,RATINGS
3,"Senior
  long-term debt",,AA-,,Aa3,,A+
4,"Commercial
  paper",,A-1+,,Prime-1,,F1
