,0,1,2,3,4,5,6
0,"Working
  Capital",,,,,,
1,,,,,,,
2,,,"At September 30,",,"At December 31,",,
3,(Dollars in millions),,2013,,2012,,
4,"Current
  assets",,,"47,533",,,"49,433"
5,"Current
  liabilities",,,"39,222",,,"43,625"
6,"Working
  capital",,,"8,311",,,"5,807"
7,,,,,,,
8,"Current
  ratio",,,1.211,,,1.131
