,0,1,2,3,4,5,6
0,,,,,,,
1,,,"At September 30,",,"At December 31,",,
2,(Dollars in millions),,2013,,2012,,
3,"Major
  markets",,,21,,,27
4,"Growth
  markets",,,24,,,21
5,"Total
  lease receivables",,,45,,,47
6,,,,,,,
7,"Major
  markets",,,48,,,67
8,"Growth
  markets",,,79,,,25
9,"Total
  loan receivables",,,127,,,92
10,,,,,,,
11,"Total
  receivables",,,172,,,139
12,,,,,,,
