,0,1,2,3,4,5,6,7
0,(Dollars in millions),,,,,,,
1,For the three months ended September 30,,,2013,,,2012,
2,Proceeds,,,8,,,36,
3,"Gross
  realized gains (before taxes)",,,5,,,27,
4,"Gross
  realized losses (before taxes)",,,0,,,—,
